IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,713.263,1389.22,1,0,2,229,9,36,16,177.55,173.983,167.712,3.82586,4.773,5.63562
1,698.25,1378.25,1,0,2,133,7,30,16,177.624,173.248,168.248,4.13746,4.3793,4.9554
1,928.7,1374.1,1,0,2,133,7,32,20,177.015,171.083,163.564,4.8447,4.90305,5.87028
1,869.75,1383.25,1,0,2,134,7,36,18,175.679,171.388,163.97,3.12519,3.85707,4.53646
1,856.731,1376.85,1,0,2,195,8,46,14,175.333,172.579,165.856,4.07457,3.80432,4.7866
1,872,1273.5,1,0,2,119,7,32,17,177.782,173.244,167.479,3.86726,4.46887,6.09382
1,881.5,1267,1,0,2,49,5,20,14,180.061,174,171.02,3.45289,4.08386,3.63795
1,846,1244.5,1,0,4,39,5,0,0,1.5641,1.94872,1.71795,3.25087,3.30883,3.27527
1,840,1243,1,0,4,50,5,0,0,1.52,1.58,2.24,3.35151,3.40075,3.61197
1,789.5,1234,1,0,2,32,4,40,14,176.125,173.031,167,4.53332,2.8622,2.29904
1,741,1162.5,1,0,2,81,6,26,11,179.741,175.901,172.642,2.9675,2.97268,3.94102
1,748,1154,1,0,2,29,4,26,11,178.448,174.207,170.621,3.3428,3.24959,3.73438
1,999,1135,1,0,2,33,4,60,3,176.485,175.545,173.879,1.8571,1.85603,2.59084
1,1209.15,1136.77,1,0,2,89,6,52,10,165.213,163.921,158.09,3.94699,3.81339,5.18032
1,1220,1130,1,0,2,70,6,34,13,168.814,165.443,159.971,3.35003,2.85654,3.33588
1,572.519,980.066,1,0,2,84,6,68,13,179.976,181.155,173.31,3.11557,3.32222,5.72324
1,581,974,1,0,2,114,6,60,12,180.632,180.588,174.219,4.17684,4.36079,5.14382
1,1167.5,969.5,1,0,2,92,6,76,6,172.293,172.685,168.554,3.73678,3.13628,3.24753
1,1162,960,1,0,2,89,6,76,12,172.978,174.775,167.292,3.20305,3.29191,4.12368
1,568,919.5,1,0,2,89,6,44,13,182.202,180.326,174.315,4.36265,4.18626,5.15053
1,556,917.5,1,0,2,89,6,0,2,181.416,179.876,179.73,3.15056,4.34469,4.00847
1,660,883,1,0,2,48,5,80,5,180.917,181.854,178.938,2.91304,3.48319,3.36649
1,668.2,882.4,1,0,2,75,5,60,2,181.307,181.413,179.733,2.76615,2.66608,3.99926
1,1060.5,823,1,0,2,43,4,76,6,177.279,177.814,174.093,3.37551,3.23353,3.39975
1,224.639,823.886,1,0,2,175,9,60,8,179.246,179.246,173.657,3.02898,3.90461,4.4188
1,226,812.5,1,0,2,134,7,60,11,180.224,179.776,173.052,2.87538,3.80895,3.70521
1,175.15,800.45,1,0,2,38,4,30,18,177.553,171.763,165.921,3.30214,2.677,4.23127
1,499,714,1,0,2,51,5,60,3,183.431,183.039,180.51,2.54989,2.91957,3.15454
1,669,660.5,1,0,2,77,6,80,5,182.662,183.922,181.429,3.32776,3.58751,4.34365
1,1123.75,631.25,1,0,2,133,7,100,10,173.955,177.609,171.744,3.95293,3.78242,5.16872
1,1112,623.5,1,0,2,89,6,78,11,175.933,177.989,171.022,3.35976,3.55059,5.02235
1,1457,630.5,1,0,3,133,7,60,11,164.316,163.88,155.586,2.50871,3.66709,3.09233
1,1459,620,1,0,3,88,6,38,15,166.284,162.352,154.761,3.06127,3.67157,3.60678
1,1469,612.5,1,0,3,89,6,60,12,163.64,163.921,155.135,3.32353,2.99564,3.21431
1,1155.75,572.25,1,0,2,122,7,80,10,175.713,178.057,171.967,2.98964,4.33462,5.04267
1,1145,567.5,1,0,2,89,6,76,13,175.517,178,170.169,3.53121,3.42181,4.96965
1,801,571,1,0,2,29,4,60,8,181.931,181.862,176.655,1.9071,3.04643,2.66663
1,802,563,1,0,2,88,6,94,12,179.398,182.58,175.92,2.46582,3.64025,4.77257
1,785.5,559,1,0,2,42,4,60,5,180.048,179.952,176.524,3.30891,4.18443,5.1875
1,691.25,567.75,1,0,3,79,7,180,85,1.26582,1.58228,1.50633,3.12107,3.09646,2.9865
1,698.75,556.25,1,0,3,74,5,0,0,1.51351,1.72973,1.60811,2.98809,3.06186,3.25303
1,657.75,548.75,1,0,7,83,5,0,0,1.62651,1.73494,1.83133,3.35782,3.39016,3.42884
1,663.96,543.28,1,0,7,66,5,0,0,1.54545,1.5303,1.57576,3.06105,2.86043,3.19545
1,670.015,540.691,1,0,7,45,5,180,85,1.46667,1.62222,1.93333,2.99555,3.43392,3.58543
1,680.9,536.3,1,0,7,66,5,0,0,1.80303,2.0303,1.51515,3.16878,3.67972,3.39471
1,692.73,532.378,1,0,7,70,6,0,0,1.58571,1.95714,1.85714,3.46399,3.78484,3.81976
1,1059,454,1,0,2,59,6,40,10,179.593,177.763,173.576,3.16379,3.9707,4.29459
1,1048.5,449.5,1,0,2,132,7,90,7,177.121,178.606,175.197,3.35176,4.06435,3.53891
1,483.2,214.4,1,0,2,38,4,24,16,181,174.737,170.895,2.52177,3.85329,3.88179
1,609.971,78.6176,1,0,2,238,10,42,15,173.475,170.387,163.273,3.60361,4.32196,6.84579
1,626.5,68.5,1,0,2,305,10,40,17,171.803,168.243,160.036,4.21584,4.89285,8.10774
1,770,1468.5,1,0,1,167,8,30,25,171.174,162.275,153.15,3.97088,4.28244,5.42587
1,620,1450.5,1,0,1,194,9,32,20,167.675,160.959,152.655,5.50231,4.93089,5.73518
1,975,1450.5,1,0,1,320,11,34,22,170.522,164.391,155.466,6.37176,5.6308,7.38886
1,770.4,1446.8,1,0,1,213,9,34,21,174.521,168.714,161.094,4.80459,3.78623,4.03974
1,1019.5,1441,1,0,1,165,8,38,26,171.515,164.77,153.406,4.01231,5.35907,7.07718
1,792.692,1437.54,1,0,1,241,9,30,21,176.166,169.12,161.772,4.99136,4.5897,6.85526
1,1067.5,1399,1,0,1,157,8,42,20,172.72,169.006,159.057,4.72089,4.00424,5.49946
1,509.31,1395.85,1,0,1,444,13,34,23,173.689,167.495,157.8,5.76689,6.75885,8.1312
1,1146,1374,1,0,1,245,10,40,20,168.102,162.992,153.139,6.20771,4.53408,5.20072
1,665,1373,1,0,1,221,9,40,14,178.484,174.733,168.665,4.48442,4.70352,6.01727
1,1178,1367.5,1,0,1,55,5,44,19,160.455,156.455,145,2.88601,2.88601,3.64919
1,1068,1367.5,1,0,1,126,7,42,19,172.722,168.651,160.437,3.75058,3.60134,4.03811
1,684,1366.5,1,0,1,118,7,36,19,178.585,173.805,166.788,3.79323,4.29935,5.09599
1,1205.6,1335.2,1,0,1,114,6,32,20,165.965,159.254,151.088,3.29771,3.74601,4.52077
1,1100.68,1321.24,1,0,1,216,9,30,15,174.389,169.435,163.718,4.69893,5.60027,7.11607
1,634,1307,1,0,1,55,6,32,17,180.055,174.564,168.582,3.85669,2.9331,3.20488
1,958.25,1306.75,1,0,1,167,8,42,11,175.335,172.964,167.731,3.4656,4.33174,5.9105
1,438.792,1305.16,1,0,1,402,12,38,17,175.739,171.562,164.607,4.66494,4.75458,6.99583
1,1030.5,1300,1,0,1,174,8,32,17,176.006,171.161,165.247,3.87977,4.16182,5.07288
1,611,1293,1,0,1,29,4,36,23,179.724,173.793,165.172,2.99822,1.96058,3.21389
1,974,1294.5,1,0,1,174,8,38,17,176.983,173.259,165.851,3.25774,4.45527,7.3933
1,929,1286.5,1,0,1,89,6,38,17,176.91,172.955,166.225,4.53677,3.54801,5.32332
1,1120,1285,1,0,1,189,8,34,13,172.545,168.989,164.053,3.88663,3.92225,6.40795
1,676.75,1278.75,1,0,1,134,8,40,18,177.828,173.91,165.724,4.5377,4.51428,6.43399
1,772.5,1268.5,1,0,1,49,5,32,17,176.367,171.408,164.592,3.6931,3.05951,3.7842
1,627.5,1263.5,1,0,1,180,8,44,13,179.444,176.644,171.317,3.24653,4.93365,5.9165
1,797,1260.5,1,0,1,80,6,48,16,177.688,175.713,168.338,4.96104,3.34091,4.71465
1,1236,1262.5,1,0,1,92,6,36,18,169.522,164.924,157,4.02697,3.75537,5.15462
1,1211,1253,1,0,1,27,4,38,15,167.815,164.074,157.037,2.611,2.96122,2.07088
1,543,1256,1,0,1,54,5,36,18,175.389,169.611,162.556,2.52044,1.98914,2.57135
1,1079.75,1256.75,1,0,1,164,8,40,14,175.366,172.03,166.494,3.62963,4.53109,6.52323
1,1263,1246,1,0,1,54,5,54,14,166.111,164.611,156.407,4.25842,4.2456,4.26893
1,1207,1236,1,0,1,28,4,40,12,167,163.536,158.179,2.25357,2.47557,2.33774
1,621,1239.5,1,0,1,183,9,30,13,180.377,176.06,171.891,3.45282,4.58377,5.67046
1,1279.73,1234.85,1,0,1,130,7,50,15,167.392,164.685,156.446,4.08718,4.64382,6.12919
