IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,840.432,1159.15,1,0,2,187,9,34,144,209.743,158.594,94.2888,13.1677,25.6124,36.9816
1,835.5,1148,1,0,2,148,7,34,156,219.291,170.932,105.757,18.0275,30.5691,38.354
1,637,1477.5,1,0,1,187,9,32,112,191.54,146.807,93.5027,18.2156,22.1644,27.4535
1,937,1402,1,0,1,176,8,36,127,210.045,174.812,120.83,20.7147,32.133,39.1707
1,984,1353,1,0,1,228,9,36,130,209.417,169.526,113.307,20.43,32.2288,39.8646
1,1101.5,1272,1,0,1,101,6,36,143,222.931,191.079,140.822,18.1061,29.7959,36.1836
1,371.5,1276,1,0,1,256,9,34,136,210.727,168.66,110.754,18.2265,32.0094,43.034
1,454,1261,1,0,1,242,9,34,138,211.661,168.971,110.136,18.1103,30.4726,41.7704
1,932.5,1260.5,1,0,1,252,9,34,136,210.631,168.397,109.706,19.0082,32.3751,42.9637
1,831,1249.5,1,0,1,240,9,36,138,212.017,170.579,109.625,19.3332,32.0273,41.904
1,335.5,1240.5,1,0,1,250,9,34,134,210.008,167.716,110.14,18.2128,30.9535,42.1155
1,860.75,1221.75,1,0,1,225,8,34,141,213.631,170.827,111.507,17.6608,31.5805,42.0047
1,1156.5,1218,1,0,1,265,10,36,129,207.045,165.996,108.174,19.097,32.2429,41.4192
1,1219,1207,1,0,1,274,9,34,125,203.843,163.182,106.464,19.524,31.2876,40.6046
1,947.25,1164.25,1,0,1,260,9,34,140,212.654,169.342,109.508,18.1306,32.3867,42.3559
1,636.5,1159.5,1,0,1,262,9,34,143,214.221,168.832,108.55,17.11,30.9778,42.2965
1,543.577,1143.12,1,0,1,291,10,34,143,212.88,166.653,104.773,16.5476,31.6101,42.3122
1,1080,1138.5,1,0,1,266,9,36,134,208.643,166.838,106.955,17.9561,31.441,40.767
1,687.8,1074.6,1,0,1,287,10,34,145,214.331,168.833,106.073,17.4951,31.902,42.7032
1,895.75,1064.75,1,0,1,182,8,36,144,214.297,169.533,107.154,18.7615,30.7426,39.3671
1,922.75,1055.75,1,0,1,262,9,36,142,212.985,169.927,108.115,18.0242,31.3237,42.4376
1,115.25,1015.75,1,0,1,287,10,34,122,202.073,159.641,104.624,19.8843,31.0179,40.3605
1,1070,995.5,1,0,1,190,8,38,133,212.726,177.668,121.179,19.0886,31.7332,40.808
1,493.75,957.25,1,0,1,222,9,34,153,218.833,174.302,110.613,17.1796,32.1869,43.1352
1,168,941.5,1,0,1,123,7,36,136,214.285,174.528,119.715,18.7903,28.3057,37.0755
1,552.25,941.25,1,0,1,223,9,36,154,219.184,174.363,109.395,17.8568,32.1847,44.2613
1,433.5,941,1,0,1,219,9,36,144,215.251,172.799,111.959,16.4138,29.9572,42.7572
1,595,934.5,1,0,1,234,9,34,150,216.731,172.355,108.85,17.1447,31.6453,43.6423
1,468,930.5,1,0,1,268,9,34,152,216.892,170.045,105.377,16.9338,32.5594,44.8789
1,162,924,1,0,1,284,10,34,138,210.06,164.736,103.82,17.2355,31.0044,43.4464
1,1154,922.5,1,0,1,241,9,36,129,207.419,167.813,108.876,17.1506,30.7825,40.4568
1,1199,909.5,1,0,1,241,9,36,129,206.685,168.473,109.423,18.5092,31.0299,39.7188
1,710,888.5,1,0,1,220,9,36,154,219.1,173.968,110.25,17.3879,31.9687,43.6054
1,677.5,883.5,1,0,1,196,8,36,156,221.398,176.643,113.423,16.0104,32.7332,43.0746
1,90.5,881.5,1,0,1,176,8,36,129,205.869,164.142,105.312,18.7924,29.6142,36.2014
1,961.5,870,1,0,1,277,10,36,138,211.249,169.455,108.022,17.1842,31.3733,41.4755
1,1148.75,868.25,1,0,1,260,10,36,128,207.442,168.746,109.623,18.3079,31.5633,41.1177
1,777.5,864,1,0,1,236,9,34,152,217.992,172.466,109.085,16.8916,31.63,43.1308
1,493.5,859.5,1,0,1,257,9,34,152,217.518,172.086,109.214,17.4454,31.1356,42.0373
1,681,857,1,0,1,226,9,34,156,220.403,173.973,109.863,16.506,32.8318,44.3561
1,766,845,1,0,1,233,9,36,156,218.858,172.275,106.069,16.7921,31.8529,42.4816
1,748,809.5,1,0,1,234,9,34,153,218.594,174.402,110.645,17.0534,31.8014,43.2838
1,678,792.5,1,0,1,164,7,36,151,221.274,181.951,123.36,17.2114,31.3833,41.593
1,91.75,777.25,1,0,1,260,9,34,126,206.158,165.835,109.608,17.642,31.5372,41.2758
1,68.5,740,1,0,1,162,8,34,113,195.111,152.019,98.7099,13.3253,19.4423,27.4285
1,635.5,722,1,0,1,136,7,38,140,219.235,186.382,130.985,17.7965,30.7425,40.7917
1,664.5,719,1,0,1,271,10,36,144,213.978,169.956,106.782,16.3064,31.0421,42.7668
1,983.5,718,1,0,1,271,10,36,136,210.712,169.579,109.679,15.5442,30.6677,40.7347
1,285.25,680.25,1,0,1,202,8,36,137,213.901,175.95,119.366,16.1977,29.982,40.8732
1,170,660,1,0,1,244,9,36,130,208.508,171.135,113.668,17.0477,31.3768,44.0329
1,1011.8,651.1,1,0,1,272,9,36,131,208.011,169.879,108.809,16.1981,31.0526,39.781
1,1127,640,1,0,1,225,9,36,127,208.116,171.84,115.089,18.1344,31.2089,40.0412
1,1305.5,638,1,0,1,274,10,36,117,199.544,163.843,106.759,16.9071,30.1896,38.0839
1,551.5,616,1,0,1,315,10,34,136,207.905,162.578,99.5841,18.4795,33.9391,44.2301
1,590.75,608.75,1,0,1,258,10,36,145,215.008,170.853,108.729,16.1757,30.6023,42.0293
1,222.5,605,1,0,1,170,7,36,129,212.441,178.494,124.094,17.2943,29.7433,40.0034
1,555,571,1,0,1,93,6,40,139,221.753,194.699,143.183,17.513,28.2005,38.5113
1,826.75,565.75,1,0,1,254,9,36,136,210.528,171.469,110.858,16.4335,30.1937,39.9477
1,593,552,1,0,1,215,8,36,138,213.6,174.87,117.535,16.6124,30.5012,41.3996
1,148.25,511.75,1,0,1,264,9,36,120,203.303,166.428,110.689,17.188,29.7115,39.4258
1,908,464.5,1,0,1,245,9,36,128,207.416,169.355,110.829,15.9417,29.7254,38.6916
1,1233.5,425.5,1,0,1,204,8,36,118,202.956,168.451,113.098,17.1577,30.1704,34.0505
1,910.75,379.25,1,0,1,264,9,36,126,205.492,167.473,108.057,15.8393,30.4337,38.3981
1,374,326,1,0,1,282,10,36,126,205.922,167.911,110.957,16.3702,29.8073,38.0664
1,1053,170,1,0,1,282,10,36,112,198.252,161.447,108.528,17.267,28.6324,33.8471
1,672.5,138,1,0,1,233,9,36,120,202.266,162.961,107.524,16.2506,29.3095,32.3437
1,560.5,107.5,1,0,1,192,8,34,98,186.458,147.839,99.599,15.4413,23.017,27.6372
1,821.5,92.5,1,0,1,258,9,36,110,197.612,162.229,110.895,18.9034,30.0447,37.9379
1,735.5,85,1,0,1,243,9,34,109,190.761,149.132,95.4321,12.7046,20.4815,26.7868
